,incident_datetime,incident_cord_x,incident_cord_y,num_victims,location_type,Crime_Type
0,06-Jun-2044 01:54:00,26.622588635560998,-38.4467800296975,1.0,15,LARCENY-FROM VEHICLE
1,10-Jun-2044 13:00:00,26.6193365562786,-38.4412024604741,1.0,13,LARCENY-NON VEHICLE
2,25-Feb-2044 09:00:00,26.616736829359798,-38.4440003562014,1.0,4,LARCENY-NON VEHICLE
3,02-Jun-2044 09:30:00,26.6202856035578,-38.444993523870394,1.0,33,LARCENY-NON VEHICLE
4,16-Mar-2044 19:20:00,26.6263829844112,-38.4435949707894,1.0,15,AUTO THEFT
5,18-Dec-2044 12:45:00,26.620552374983397,-38.442383668768,1.0,30,ROBBERY-PEDESTRIAN
6,26-Aug-2044 21:00:00,26.6209698250597,-38.443753202218794,1.0,10,LARCENY-FROM VEHICLE
7,28-Aug-2044 16:30:00,26.6276331330016,-38.4451310423236,2.0,13,LARCENY-FROM VEHICLE
8,10-Nov-2044 22:40:00,26.6201273134794,-38.442814396131396,1.0,17,AGG ASSAULT
9,21-May-2044 17:30:00,26.616127290311898,-38.4444858080532,1.0,10,LARCENY-FROM VEHICLE
10,16-Nov-2044 19:30:00,26.6180117551696,-38.443041510744,1.0,33,LARCENY-NON VEHICLE
11,03-Dec-2044 19:00:00,26.6176323525988,-38.4417903203005,1.0,5,LARCENY-NON VEHICLE
12,18-Sep-2044 01:00:00,26.617967550118397,-38.4412914868342,2.0,10,LARCENY-FROM VEHICLE
13,16-Mar-2044 11:15:00,26.6198345413698,-38.4435972871995,1.0,10,LARCENY-FROM VEHICLE
14,09-Jun-2044 18:20:00,26.620592772390104,-38.4410022332824,1.0,10,AUTO THEFT
15,25-Feb-2044 17:50:00,26.6198928174906,-38.444117135213,1.0,10,LARCENY-FROM VEHICLE
16,08-Jan-2044 17:00:00,26.6186050548876,-38.44340166529471,1.0,6,LARCENY-FROM VEHICLE
17,16-Mar-2044 17:51:00,26.6263083683423,-38.4432863454635,1.0,17,AUTO THEFT
18,13-Jul-2044 23:00:00,26.6206685253654,-38.4433604965811,1.0,13,BURGLARY-RESIDENCE
19,19-Aug-2044 06:30:00,26.6170685291187,-38.44100986002189,1.0,13,BURGLARY-RESIDENCE
20,01-Mar-2044 15:20:00,26.6172742212393,-38.4413086809989,1.0,4,LARCENY-NON VEHICLE
21,24-Jan-2044 14:15:00,26.6159186770338,-38.4399744153226,1.0,33,LARCENY-FROM VEHICLE
22,20-Feb-2044 15:00:00,26.62384445493,-38.4428124367615,1.0,10,LARCENY-FROM VEHICLE
23,07-Oct-2044 10:40:00,26.6167236645436,-38.439753700261,1.0,13,AUTO THEFT
24,20-Jul-2044 15:00:00,26.6189313088911,-38.44253821161929,1.0,10,AUTO THEFT
25,10-Jul-2044 12:10:00,26.6169341051546,-38.444080426784204,1.0,15,LARCENY-NON VEHICLE
26,08-Nov-2044 13:30:00,26.6202856035578,-38.444993523870394,1.0,15,LARCENY-FROM VEHICLE
27,10-Sep-2044 21:00:00,26.6207125328765,-38.4412087278798,1.0,10,LARCENY-FROM VEHICLE
28,14-Mar-2044 13:30:00,26.6188925884971,-38.444876064656704,2.0,10,LARCENY-FROM VEHICLE
29,21-Aug-2044 03:00:00,26.624092193049698,-38.4451066324726,1.0,17,AGG ASSAULT
30,28-Jan-2044 16:30:00,26.619385639413,-38.4438489744846,1.0,29,LARCENY-NON VEHICLE
31,14-Nov-2044 20:30:00,26.6247592714738,-38.4448984344707,1.0,13,AUTO THEFT
32,14-Feb-2044 17:00:00,26.619582132746395,-38.4429202045779,1.0,10,LARCENY-FROM VEHICLE
33,03-Jun-2044 20:00:00,26.621469674210502,-38.4416069123604,1.0,13,ROBBERY-PEDESTRIAN
34,06-Sep-2044 16:30:00,26.6168908082077,-38.445041585601395,1.0,4,LARCENY-NON VEHICLE
35,21-Jun-2044 17:00:00,26.627220468130602,-38.4426689494151,1.0,10,LARCENY-FROM VEHICLE
36,09-Oct-2044 13:00:00,26.624050327618605,-38.44620976662,1.0,13,LARCENY-FROM VEHICLE
37,15-Oct-2044 15:30:00,26.616637713119395,-38.442529064104704,1.0,13,ROBBERY-PEDESTRIAN
38,19-Jul-2044 16:31:00,26.6242047108787,-38.445079608155105,1.0,4,LARCENY-NON VEHICLE
39,23-Oct-2044 23:00:00,26.615242383534103,-38.445210493122,1.0,13,LARCENY-FROM VEHICLE
40,28-May-2044 16:26:00,26.6227100382259,-38.444534410988496,1.0,13,LARCENY-FROM VEHICLE
41,30-Apr-2044 20:30:00,26.627361838433103,-38.442719725177795,1.0,10,LARCENY-FROM VEHICLE
42,25-Dec-2044 08:30:00,26.6205196580127,-38.443251180000296,1.0,10,LARCENY-FROM VEHICLE
43,02-Jun-2044 23:00:00,26.6185183634942,-38.441873951270296,1.0,17,BURGLARY-RESIDENCE
44,21-Mar-2044 20:00:00,26.617909286395,-38.44316999896029,1.0,33,BURGLARY-NONRES
45,05-Mar-2044 19:00:00,26.622369866049,-38.444780729977104,1.0,13,BURGLARY-RESIDENCE
46,15-May-2044 16:58:00,26.6176758450284,-38.441799730542705,1.0,14,LARCENY-NON VEHICLE
47,04-Jun-2044 22:47:00,26.618424496164497,-38.4421965930969,2.0,17,BURGLARY-RESIDENCE
48,23-Dec-2044 23:45:00,26.617116140497103,-38.44371905399289,1.0,10,AUTO THEFT
49,13-Sep-2044 23:25:00,26.6249715844978,-38.445804045212,1.0,16,AGG ASSAULT
50,22-Sep-2044 11:00:00,26.618623967555298,-38.4444596827463,1.0,33,LARCENY-FROM VEHICLE
51,31-Dec-2044 21:30:00,26.6202097221334,-38.445367906914704,1.0,10,AUTO THEFT
52,05-Oct-2044 10:01:00,26.621677441737198,-38.4418292825279,1.0,13,BURGLARY-RESIDENCE
53,30-Mar-2044 11:00:00,26.6215563052495,-38.443823616634496,2.0,13,BURGLARY-RESIDENCE
54,18-Mar-2044 19:30:00,26.6168931121387,-38.4449762932841,1.0,33,LARCENY-NON VEHICLE
55,06-Sep-2044 03:30:00,26.6204853775636,-38.4425575671597,1.0,5,LARCENY-FROM VEHICLE
56,20-Aug-2044 14:00:00,26.6186575290278,-38.4414038315311,1.0,22,LARCENY-NON VEHICLE
57,05-Aug-2044 20:28:00,26.621169554804897,-38.4417715707161,1.0,13,AGG ASSAULT
58,10-Feb-2044 17:40:00,26.616632201256,-38.4450468984882,1.0,16,LARCENY-NON VEHICLE
59,02-Sep-2044 17:00:00,26.619986173157898,-38.4439953503947,1.0,10,LARCENY-FROM VEHICLE
60,26-Apr-2044 14:48:00,26.6244499547253,-38.4442920588491,1.0,13,AGG ASSAULT
61,12-Aug-2044 13:00:00,26.615643868752198,-38.4444742760366,1.0,17,LARCENY-NON VEHICLE
62,25-Oct-2044 20:30:00,26.622125910826,-38.4438773318926,0.0,15,AUTO THEFT
63,21-Feb-2044 14:30:00,26.618033650699395,-38.4419675495851,1.0,10,LARCENY-FROM VEHICLE
64,03-Dec-2044 01:00:00,26.6203531146148,-38.4422018896288,1.0,10,ROBBERY-PEDESTRIAN
65,20-Jun-2044 18:00:00,26.621634409558503,-38.4443746437191,1.0,10,AUTO THEFT
66,23-Aug-2044 09:00:00,26.616833487859303,-38.4440542585442,1.0,10,LARCENY-FROM VEHICLE
67,05-Jun-2044 18:00:00,26.6260386855569,-38.4432601865204,1.0,31,LARCENY-NON VEHICLE
68,04-Jul-2044 20:30:00,26.6177376766646,-38.443300448588204,1.0,33,LARCENY-FROM VEHICLE
